mbid,artist_mb,tags_mb,listeners_lastfm
5182c1d9-c7d2-4dad-afa0-ccfeada921a8,Black Sabbath,rock; heavy metal; metal; british; uk; hard rock; psychedelic rock; blues rock; nwobhm; pop rock; jazz-rock; english; birmingham; reunion; classic pop and rock; traditional doom metal; new wave of british heavy metal; want to listen,2442953
69b39eab-6577-46a4-a9f5-817839092033,Kasabian,rock; alternative rock; british; indie rock; indie; alternative; neo-psychedelia; alternative dance; dance-punk; indietronica; rock and indie,2436092
ebfc1398-8d96-47e3-82c3-f782abcdb13d,The Beach Boys,rock; pop; american; usa; psychedelic rock; américain; baroque pop; psychedelic pop; pop rock; rock and roll; surf rock; surf; sunshine pop; classic pop and rock; b7005bb9-fcd9-4d06-8c39-c5ef11275ef1; pop/rock; today,2430401
d339efbb-77b9-4147-ba9e-59f2f24550b2,Kelly Clarkson,rock; pop; electropop; dance-pop; pop rock; american idol; pop and chart; teen pop; fixme label mess; a filk artist,2425837
f7ba7fbe-c6bd-4ac0-bee9-c25c558d7d62,T.I.,rap; hip hop; southern hip hop; gangsta rap; pop rap; dirty south; hip hop rnb and dance hall; trap rap,2422414
c7020c6d-cae9-4db3-92a7-e5c561cbad50,Keane,rock; alternative rock; synth-pop; piano rock; alternative pop; english; rock and indie; post-britpop,2422185
618b6900-0618-4f1e-b835-bccb17f84294,Eric Clapton,rock; pop; blues; british; reggae; hard rock; psychedelic rock; blues rock; pop rock; british blues; classic pop and rock; acoustic blues; clapton; eric clapton; pop/rock; 24 nights; has german audiobooks,2415759
5fee3020-513b-48c2-b1f7-4681b01db0c6,Florence + the Machine,rock; indie rock; indie; indie pop; rock and indie; pop soul; enfp; art pop,2412744
a96ac800-bfcb-412a-8a63-0a98df600700,Modest Mouse,rock; alternative rock; american; indie rock; indie; indie pop; indie folk; noise pop; contemporary folk; rock and indie; lo-fi indie,2393280
01809552-4f87-45b0-afff-2c6f0730a3be,Elvis Presley,rock; pop; american; blues; singer; rockabilly; country; pop rock; blue-eyed soul; gospel; rock and roll; oldies; love; classic pop and rock; party; christmas music; rock & roll; pop/rock; flaming; if you talk in your sleep,2390753
4bb4e4e4-5f66-4509-98af-62dbb90c45c5,Disturbed,rock; heavy metal; metal; american; hard rock; nu metal; new metal; alternative metal; rock and indie; alternative/rock/metal,2378787
5d02f264-e225-41ff-83f7-d9b1f0b1874a,Simon & Garfunkel,rock; folk; american; singer-songwriter; folk rock; pop rock; contemporary folk; folk pop; film soundtrack; classic pop and rock; seven; simon-garfunkel; singer/songwriter,2371627
f4a31f0a-51dd-4fa7-986d-3095c40c5ed9,Evanescence,rock; alternative rock; metal; american; nu metal; new metal; alternative metal; pop rock; symphonic rock; gothic rock; piano rock; pop and chart; n2,2370097
c07f0676-9143-4217-8a9f-4c26bd636f13,My Chemical Romance,rock; alternative rock; punk; hard rock; emo; alternative; pop punk; post-hardcore; pop and chart; matthew edward hall,2363924
109958eb-a335-4c5e-907e-597ff4c6af46,Creedence Clearwater Revival,rock; american; 60s; folk rock; blues rock; country rock; southern rock; classic rock; rock and roll; roots rock; swamp rock; classic pop and rock; rock & roll,2362780
d8354b38-e942-4c89-ba93-29323432abc3,Thirty Seconds to Mars,rock; electronic; alternative rock; experimental; 311; progressive; emo; alternative; acoustic rock; pop rock; arena rock; pop and chart; united states; emo-pop,2359138
